id,alias,name,categories,Categories,city,Cuisine,Review Count,Rating,Old Price Bucket,Reviews,Type of Restau,Distance,Latitude,Longitude,distance to Manila,distance to Quezon City,distance to Caloocan,distance to Las Pinas,distance to Makati,distance to Malabon,distance to Mandaluyong,distance to Marikina,distance to Muntinlupa,distance to Navotas,distance to Paranaque,distance to Pasay,distance to Pasig,distance to San Juan,distance to Taguig,distance to Valenzuela,Price Bucket
LQloWiJc0AF0vrXLTvpqgA,locavore-pasig,Locavore,"[{'alias': 'filipino', 'title': 'Filipino'}]",['Filipino'],Pasig,Filipino,44,4.5,expensive,"[[[5], ['If there is more to the word delicious, this one is. I so love the food I ordered that I forgot to take photos. But I am not really keen on using my phone....']], [[4], ['Always a go to place for entertaining out of towners. Too rich for the everyday meal.']], [[5], ['Food was so good I forgot to takes pics! I ordered a bunch of different dishes to sample, mostly because my eyes get big at all the different dishes. This...']]]",Ethnic Cuisine,2746.361072,14.57158894,121.0565369,3835.1560660502,2046.548450218449,10328.165735886485,12414.572145750015,656.3242395385059,12877.888749553511,162.7577766202871,5862.48072414665,11944.671703060401,12253.065892203014,7768.060505925982,5931.204056480151,0.0,2891.8761820430746,1127.1078033521335,13580.357334315493,expensive
vWUUJYL_tINNvtY0nDoV-g,tipsy-pig-gastropub-pasig-city,Tipsy Pig Gastropub,"[{'alias': 'gastropubs', 'title': 'Gastropubs'}, {'alias': 'beer_and_wine', 'title': 'Beer, Wine & Spirits'}]","['Gastropubs', 'Beer, Wine & Spirits']",Pasig,Filipino,27,4.0,expensive,"[[[5], ['Food is delish. Good for groups. \n\nMy favorite is the Squid Aglio Olio. Garlicky but not overpowering. I still can taste the freshness of the squid - soft...']], [[4], ['Every time I visit Metro Manila, it baffles me to see how much development and social culture has grown!\n\nTipsy Pig (at the time of this meal anyway) is...']], [[2], ['While the food tasted good, everything else was a mess.\n\nCustomer service was at its worse. We had dinner here and it took them more than 40 minutes to...']]]",Entertainment,2028.154835,14.574587,121.062623,4560.388606220673,1799.343921926637,10574.66943433084,13090.64378336299,1202.2255567507887,12927.564755358684,724.4565658422869,5283.453122643496,12328.748454889683,12605.416606712255,8322.328503120969,6691.4116910394605,0.0,3065.5739250246,1720.747065530172,13619.980790211,expensive
K-gknkoYr_LoEuluM3Fu9w,silantro-fil-mex-pasig,Silantro Fil-Mex,"[{'alias': 'mexican', 'title': 'Mexican'}, {'alias': 'tex-mex', 'title': 'Tex-Mex'}, {'alias': 'filipino', 'title': 'Filipino'}]","['Mexican', 'Tex-Mex', 'Filipino']",Pasig,Mexican,25,4.0,moderate,"[[[5], [""Definitely one of the most unique takes on Mexican I've been fortunate enough to try, which is saying a lot since I was born and raised in the U.S. Arguably...""]], [[5], ['Did not expect much because of its simple interiors but was quite surprised that the place was very busy on a Sunday afternoon. \n\nLoved their burrito!...']], [[5], [""Silantro's original branch. They are also located at Alabang Town Center, Solenad Nuvali, and Tagaytay\n\nHITS:\nCheesy beef nachos never fails\nskewers, shrimp...""]]]",Ethnic Cuisine,2768.293471,14.567658,121.0579,3951.2263025059005,2498.4034933219646,10761.058828474414,12137.452681354665,284.6947653464573,13347.122862358872,558.0906246785975,6216.234957510048,11503.992799644611,12649.116644755191,7390.146295956488,5833.209683885662,0.0,3351.78743122037,767.196749863671,14041.706139547554,moderate
9FiacziJabn7wfhc0mLHPg,kanto-freestyle-breakfast-pasig-2,Kanto Freestyle Breakfast,"[{'alias': 'tradamerican', 'title': 'American(Traditional)'}, {'alias': 'filipino', 'title': 'Filipino'}]","['American (Traditional)', 'Filipino']",Pasig,Filipino,23,3.5,inexpensive,"[[[5], [""If you're looking for a quick, tasty and cheap breakfast spot, Kanto Hits the spot!\nThey've got all the basic breakfast foods including tocino, longonisa,...""]], [[5], ['We came at 10Am on a Monday and there was no line. The servers were friendly. Note that you have to go up the the cashier and order your food and they bring...']], [[4], ['Was in Manila for five days and had Kanto Freestyle Breakfast twice! Once dine-in, once for delivery and both times were great experiences!\n\nI love the...']]]",Ethnic Cuisine,2251.238003,14.574018,121.060631,4330.273514753121,1806.080624694816,10456.028265349414,12906.6789672423,1067.068656707744,12865.905973357743,499.4060687048396,5424.091649092485,12248.77054016426,12459.043013386017,8181.686684821144,6464.1184986561475,0.0,2964.804015302825,1554.7794010661396,13589.580043408188,inexpensive
fhV6ftv1Y3oMb6sD9MS80g,Cafe-juanita-pasig-city,Cafe Juanita,"[{'alias': 'filipino', 'title': 'Filipino'}]",['Filipino'],Pasig,Filipino,19,4.5,expensive,"[[[5], [""Cafe Juanita is one of the best Filipino restaurants you can go to in Manila. I've grown to crave the Bacolod Sole, the Lipa fish (Tilapia), the double...""]], [[3], [""Traditional Filipino food served in the most interesting of decor. It's like my in-laws with their random chandeliers and lights x10.\n\nService was a bit...""]], [[4], ['Great experience to try this must visit restaurant in Manila!\nParking service provided and guided.\nFood is good and ambiance is comfy. \n\nWill consider to...']]]",Ethnic Cuisine,2332.286401,14.57240495,121.0603016,4263.308870347385,1981.177157930188,10557.592092453016,12735.226413684726,878.3181727387813,13005.759725120877,462.7769279389509,5609.964850949929,12061.467755447964,12535.680811816124,7995.056680587398,6348.4721687777,0.0,3081.730043545935,1373.7340614015525,13739.14429654929,expensive
Ddz7tuzYzpT5WiFUd_DVpw,mad-marks-pasig-2,Mad Mark's,"[{'alias': 'icecream', 'title': 'Ice Cream & Frozen Yogurt'}, {'alias': 'sandwiches', 'title': 'Sandwiches'}, {'alias': 'tradamerican', 'title': 'American(Traditional)'}]","['Ice Cream & Frozen Yogurt', 'Sandwiches', 'American (Traditional)']",Pasig,American,18,4.5,moderate,"[[[5], ['The Philippines is a hot place. Ice cream, naturally is found all over the Metro, sometimes on a stick, sometimes in a hotdog bun, sometimes in a bowl. If...']], [[4], [""Mad Mark's serves food that is consistent, hearty, and affordable. Their ribs, steaks, and burgers aren't the highest quality, but the value proposition of...""]], [[4], ['I love ice cream and I really enjoyed this ice cream place. They also serve other food dishes. Just went here and ordered two scoops of ice cream. I ordered...']]]",Specialty,2337.454759,14.570848,121.060817,4297.9991386275615,2167.6342805271856,10723.7769221291,12625.847415651922,727.6441600825062,13188.990410999651,578.0575206144877,5756.511591099636,11886.018724937097,12686.843568549333,7848.482797500879,6323.035657234605,0.0,3253.474022967291,1248.1741273437453,13918.70589183168,moderate
SNloq1D4qLVzy5VHzbv19w,coco-ichibanya-pasig,CoCo Ichibanya,"[{'alias': 'japanese', 'title': 'Japanese'}]",['Japanese'],Pasig,Japanese,18,4.5,moderate,"[[[5], ['This is my go-to place for Japanese Curry (Kari?) rice with pork (tonkatsu), chicken (momokatsu or fillet) and shrimp. You can specify the spiciness of the...']], [[5], [""Absolutely luuurve CoCo! I've had the real deal in Tokyo and the taste and quality is the same! :) It's hard to find a good Japanese curry place that has so...""]], [[5], ['My ""Go-To"" Meal ~ Tonkatsu Extra Hot Curry With Clams\n\n@usavolleyball @usav_hp @aloharegionjrs @hawaiivolleyballcombine @hawaiivolleyballfoundation...']]]",Ethnic Cuisine,1988.49267,14.5758193,121.0627549,4562.776752412228,1666.7665873955782,10491.078694623264,13213.410634852726,1338.458194985814,12816.068998161916,651.2289133945073,5145.376585254644,12471.191466543441,12539.246027710045,8459.570172882415,6769.5176303979315,0.0,2958.8123432462617,1850.306704535644,13497.260548540115,moderate
-WNZr_tn47WlkK4uXetKpw,frankies-new-york-buffalo-wings-pasig-2,Frankie's New York Buffalo Wings,"[{'alias': 'chickenshop', 'title': 'Chicken Shop'}, {'alias': 'tradamerican', 'title': 'American(Traditional)'}]","['Chicken Shop', 'American (Traditional)']",Pasig,American,16,4.0,moderate,"[[[5], [""I'm a bit of a wings enthusiast. Whenever anyone asks me what I feel like eating, 9 times out of 10, I will probably respond with wings. Frankie's wings...""]], [[5], [""Frankie's serves the best wings in Manila, bar none. Them's fighting words, but here's why.\n\nTo me, a good chicken wing is crunchy on the outside, juicy on...""]], [[4], [""Frankie's is good but it's not Red Buffalo. I LOVE garlic Parmesan wings and eating it from Frankie's makes me want to puke on the 3rd wing. Unlike...""]]]",Specialty,1589.227387,14.584568,121.067593,4736.508578328468,817.0189329329418,10287.44353294023,14344.259188271853,2476.328346155653,12302.482001943434,853.4620036695509,4017.332662215514,13523.061155219977,12488.848881979462,9593.943108973805,7740.347798370333,0.0,2180.097704296355,2991.048619340994,12841.807475250876,moderate
7N53AcXuDUXFXfHSfbwTtA,buffalo-wild-wings-pasig,Buffalo Wild Wings,"[{'alias': 'tradamerican', 'title': 'American(Traditional)'}]",['American (Traditional)'],Pasig,American,16,3.0,expensive,"[[[4], ['Of the restaurants iin Estamzia, this is the one I go to the most. I simply cannot resist the Pepper Jack Steak Wrap. Occasionally bring my ""adopted""...']], [[4], [""Pasig has never really been seen as a food district. Besides Ortigas, there aren't many places there where you can bring your friends for a food trip. When...""]], [[4], ['I was actually invited to the launch of Buffalo Wild Wings in the Philippines, and I have seen how loud and busy the store could be when every nook and...']]]",Ethnic Cuisine,1876.79384,14.575827,121.063805,4667.729342944125,1697.2267051475067,10578.308710947826,13283.607748084592,1387.3755645262702,12879.026721651087,744.2554686255186,5104.928942967964,12481.419261790874,12636.635215545724,8503.732078690113,6873.518013587688,0.0,2985.5462949175862,1910.4336349977739,13545.884412280702,expensive
QLG3gDhfZqGzjdg1giYpzQ,sentro-1771-pasig-city,Sentro 1771,"[{'alias': 'filipino', 'title': 'Filipino'}, {'alias': 'desserts', 'title': 'Desserts'}, {'alias': 'asianfusion', 'title': 'Asian Fusion'}]","['Filipino', 'Desserts', 'Asian Fusion']",Pasig,Filipino,16,4.5,expensive,"[[[5], ['Great food service and ambiance. I will be back to eat here again. Nice atmosphere and great area. Easy to find and get there. Popular destination for...']], [[3], ['Had dinner here with family on a weekday night. It was packed. \n\nPros: The interior of the restaurant was modern. The food I had was good. I liked the...']], [[5], ['This is a fantastic Filipino restaurant /diner. They open at 7am-11pm and deliver to the Shangri-La hotel even. Their sinigang soup is out of this world...']]]",Ethnic Cuisine,1987.606862,14.57490553,121.0629369,4601.784569816502,1773.4476865195084,10576.11583385914,13140.890772595394,1250.0064971944962,12915.451779256227,730.4574389937164,5237.101105176044,12367.944191650775,12614.11013523152,8369.297279175275,6739.146209500498,0.0,3064.12568833987,1770.054025357878,13601.198594793012,expensive
